"","artist","track","target","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms"
"198","Olexesh","Feuer","dislike",0.789,0.681,"11",-6.212,"0",0.272,0.142,7.23e-06,0.167,0.626,100.139,211600
"199","Fousy","HIMALAYA","dislike",0.729,0.82,"6",-5.567,"0",0.0357,0.463,0.128,0.149,0.871,130.047,143720
"200","KitschKrieg","Aua, Oh Oh, Gringo ist sauer (feat. Gringo)","dislike",0.85,0.581,"0",-5.998,"1",0.188,0.0313,0,0.102,0.735,95.026,174415
"201","Anna Chiara","Bitchez","dislike",0.771,0.832,"1",-4.473,"1",0.067,0.0733,0,0.184,0.684,126.035,205706
"202","SDP","Viva la Dealer","dislike",0.795,0.806,"0",-4.516,"1",0.138,0.166,0,0.117,0.652,96.032,230361
"203","Rooz","Très jolie","dislike",0.769,0.663,"2",-4.592,"0",0.103,0.0692,0,0.31,0.563,107.072,153478
"204","Olexesh","Magisch - DJ Katch Remix","dislike",0.543,0.74,"0",-5.724,"0",0.221,0.215,0,0.239,0.493,98.549,240000
"205","Maxwell","Safari","dislike",0.834,0.768,"8",-7.767,"0",0.205,0.243,5.18e-06,0.142,0.738,129.996,158969
"206","MERO","Wolke 10","dislike",0.77,0.797,"10",-4.985,"0",0.0693,0.0662,3.81e-06,0.0858,0.393,100.003,172827
"207","SDP","Merkste selber, wa?!","dislike",0.884,0.771,"0",-4.224,"1",0.164,0.0607,0,0.108,0.762,109.923,223732
"208","Bausa","Mary","dislike",0.652,0.702,"4",-8.124,"1",0.0803,0.03,0,0.0831,0.82,151.995,158282
"209","Capital Bra","Prinzessa","dislike",0.736,0.585,"7",-6.769,"1",0.12,0.513,2.02e-05,0.108,0.28,100.609,178000
"210","Eno","Mercedes","dislike",0.791,0.762,"6",-6.47,"1",0.156,0.365,0,0.109,0.804,77.53,209280
"211","Sinan-G","WBDDDMG","dislike",0.938,0.644,"7",-7.757,"1",0.362,0.141,9.06e-05,0.12,0.721,114.031,145133
"212","DRiBBLA","AMINA","dislike",0.739,0.769,"7",-5.999,"1",0.322,0.0804,3.76e-05,0.392,0.641,160.058,145500
"213","Noizy","Toto (feat. RAF Camora)","dislike",0.764,0.683,"7",-7.353,"0",0.0467,0.104,1.37e-05,0.108,0.574,121.979,205140
"214","Nimo","LFR","dislike",0.905,0.824,"9",-5.052,"0",0.0884,0.0467,0,0.0555,0.647,120.086,265587
"215","Ardian Bujupi","Wie im Traum","dislike",0.82,0.734,"5",-5.724,"0",0.137,0.292,0,0.341,0.474,101.048,206053
"216","Nura","Radio","dislike",0.787,0.751,"1",-5.589,"1",0.233,0.137,4.48e-06,0.117,0.557,103.054,157282
"217","Capital Bra","Olé Olé","dislike",0.909,0.803,"10",-6.267,"0",0.169,0.408,0.00029,0.104,0.526,120.003,153147
"218","Nimo","Roadrunner","dislike",0.834,0.807,"10",-5.108,"0",0.0732,0.173,0,0.119,0.484,120.002,258000
"219","Payy","Hayat","dislike",0.697,0.606,"1",-5.799,"1",0.0664,0.46,1.36e-06,0.134,0.87,93.078,149826
"220","Summer Cem","Tamam Tamam","dislike",0.886,0.642,"6",-7.141,"1",0.0995,0.141,0.00427,0.129,0.581,100.015,147120
"221","Kontra K","Blei (feat. Veysel)","dislike",0.798,0.668,"11",-5.712,"0",0.271,0.13,0,0.0695,0.537,99.895,170624
"222","Sero","Temperamento - Remix","dislike",0.782,0.765,"2",-6.372,"0",0.264,0.379,0.0137,0.146,0.767,98.977,158067
"223","Qzeng","Trance","dislike",0.738,0.598,"7",-7.661,"1",0.0841,0.0283,0,0.111,0.393,130.064,206788
"224","Capital Bra","Rolex","dislike",0.813,0.59,"4",-6.542,"0",0.345,0.346,0,0.0335,0.716,91.985,235955
"225","Nimo","Leyla","dislike",0.838,0.66,"7",-5.61,"0",0.155,0.284,0,0.0898,0.364,110.056,258880
"226","Fousy","Alélo","dislike",0.769,0.768,"3",-4.923,"0",0.0358,0.244,9.81e-05,0.105,0.609,130.064,182391
"227","RAF Camora","Perfekt (feat. Sofiane)","dislike",0.604,0.765,"11",-6.75,"0",0.434,0.639,0,0.0938,0.773,118.257,213945
"228","Eno","Chyna Whyte","dislike",0.779,0.739,"1",-5.677,"0",0.0431,0.0995,0.00113,0.0823,0.461,122.025,161187
"229","257ers","Akk & Feel It","dislike",0.772,0.789,"11",-3.51,"1",0.0344,0.00542,4.18e-06,0.428,0.82,124.997,176735
"230","Willy Will","Tanz mit mir","dislike",0.811,0.724,"5",-5.329,"0",0.0441,0.146,8.61e-06,0.0764,0.614,106.995,208735
"231","Capital Bra","Melodien (feat. Juju)","dislike",0.751,0.529,"11",-7.407,"0",0.143,0.0849,0,0.0944,0.33,100.262,159518
"232","Moe Phoenix","Aicha","dislike",0.68,0.781,"7",-4.227,"0",0.0525,0.054,6.01e-06,0.316,0.458,100.008,189000
"233","KitschKrieg","Standard (feat. Trettmann, Gringo, Ufo361 & Gzuz)","dislike",0.826,0.76,"1",-6.591,"1",0.187,0.146,0,0.155,0.875,88.999,195291
"234","Jamule","NBA","dislike",0.809,0.727,"0",-6.081,"1",0.0456,0.228,5.69e-05,0.197,0.793,141.924,179200
"235","Bato","TOUCHÉ","dislike",0.865,0.59,"8",-4.362,"0",0.0633,0.333,0.00107,0.054,0.883,100.997,177400
"236","Bonez MC","Kokain","dislike",0.615,0.677,"5",-7.906,"0",0.363,0.231,0,0.543,0.608,170.117,209232
"237","Capital Bra","Ich liebe es (feat. XATAR & SAMY)","dislike",0.549,0.735,"6",-5.226,"0",0.299,0.325,0,0.263,0.495,97.538,167506
"238","SSIO","Nuttööö","dislike",0.801,0.951,"7",-3.383,"1",0.306,0.0503,0,0.163,0.582,95.06,214747
"239","Nimo","Heute mit mir","dislike",0.834,0.84,"5",-4.777,"0",0.0442,0.351,2.1e-05,0.0753,0.851,117.058,221680
"240","RIN","Monica Bellucci","dislike",0.679,0.605,"2",-10.004,"0",0.265,0.534,0.0881,0.192,0.488,194.071,204053
"241","Azet","Qa bone","dislike",0.768,0.943,"9",-2.875,"1",0.127,0.219,1.04e-06,0.115,0.822,125.139,190320
"242","Capital Bra","One Night Stand","dislike",0.645,0.636,"5",-6.128,"0",0.437,0.397,1.49e-06,0.0818,0.897,101.933,162335
"243","Sain","Tanzen","dislike",0.875,0.768,"0",-4.258,"1",0.0504,0.0299,0.0101,0.0508,0.733,102.975,193883
"244","Nimo","Lean","dislike",0.784,0.769,"10",-6.725,"0",0.109,0.0417,8.84e-05,0.143,0.58,116.054,224339
"245","Kaaris","Diarabi - Remix","dislike",0.848,0.851,"0",-5.292,"0",0.381,0.18,0,0.0962,0.866,101.015,205160
"246","DJ Antoine","Yallah Habibi - DJ Antoine & Mad Mark 2k18 German Mix","dislike",0.732,0.904,"7",-5.827,"1",0.0622,0.0802,0,0.341,0.874,105.013,196271
"247","Kurdo","Bugatti Veyron","dislike",0.868,0.832,"5",-4.881,"0",0.0818,0.194,0,0.184,0.628,120.048,229082
"248","RAF Camora","Primo","dislike",0.748,0.754,"6",-6.479,"1",0.157,0.358,0.000189,0.138,0.487,119.989,203105
"249","Capital Bra","Wann dann","dislike",0.777,0.867,"10",-4.137,"0",0.22,0.226,7.03e-05,0.0755,0.394,104.168,189512
"250","Bonez MC","Ohne mein Team","dislike",0.766,0.8,"1",-6.062,"0",0.0938,0.16,1.6e-05,0.0744,0.635,129.999,188504
"251","Bonez MC","Ohne mein Team","dislike",0.766,0.8,"1",-6.062,"0",0.0938,0.16,1.6e-05,0.0744,0.635,129.999,188504
"252","Remoe","Nackt","dislike",0.877,0.532,"5",-10.853,"0",0.0455,0.0255,0.0216,0.0884,0.711,114.952,172587
"253","Trettmann","Gottseidank","dislike",0.882,0.545,"4",-8.241,"0",0.251,0.121,5.96e-05,0.129,0.782,94.983,221991
"254","Rag'n'Bone Man","As You Are - Shy FX Remix","dislike",0.71,0.629,"8",-5.792,"1",0.116,0.0712,8.72e-05,0.561,0.835,82.028,205629
"255","Avicii","Wake Me Up - Reggae Mix","dislike",0.607,0.762,"11",-7.305,"0",0.0296,0.000146,0.052,0.159,0.386,93,271627
"256","Jorja Smith","Let Me Down - Shy FX Remix","dislike",0.755,0.526,"1",-7.757,"1",0.0319,0.033,0.0021,0.382,0.592,124.946,208000
"257","Estelle","So Easy (feat. Luke James)","dislike",0.548,0.8,"11",-4.675,"0",0.112,0.178,0,0.175,0.698,178.072,239324
"258","Eric Benét","Hope That It's You","dislike",0.732,0.683,"1",-6.014,"0",0.0935,0.134,0,0.0689,0.924,160.038,241640
"259","Joe Hertz","I Owe You - Cadenza Remix","dislike",0.744,0.626,"9",-5.773,"1",0.0412,0.269,6.24e-05,0.233,0.502,91.999,226955
"260","Jordan Rakei","Living in the Past","dislike",0.901,0.574,"8",-6.258,"1",0.0628,0.0284,0.00242,0.198,0.64,135.074,161873
"261","Caro Emerald","Never Ever","dislike",0.754,0.639,"4",-6.684,"0",0.155,0.193,0.00128,0.0828,0.799,73.97,216510
"262","Jarreau Vandal","Down About It","dislike",0.774,0.584,"4",-8.926,"0",0.175,0.0199,0.269,0.123,0.621,140.973,208545
"263","John Legend","No Other Love (feat. Estelle)","dislike",0.636,0.677,"5",-6.056,"0",0.124,0.0611,1.41e-06,0.106,0.694,164.035,239067
"264","El Michels Affair","Never Be Another You (Reggae Remix)","dislike",0.808,0.407,"9",-9.817,"1",0.283,0.244,0.00157,0.0887,0.684,84.976,188793
"265","Flor de Toloache","Quisiera","dislike",0.633,0.349,"10",-6.131,"1",0.0334,0.582,2.82e-06,0.0949,0.139,80.704,233987
"266","Ady Suleiman","Running Away - Winta James Mix","dislike",0.669,0.584,"5",-5.988,"0",0.0331,0.306,0.0325,0.0589,0.949,149.976,210800
"267","Rudimental","Let Me Live (feat. Anne-Marie & Mr Eazi)","dislike",0.662,0.844,"8",-5.495,"1",0.0669,0.00295,4.78e-05,0.525,0.763,145.007,205760
"268","Rihanna","Here I Go Again","dislike",0.681,0.611,"5",-5.939,"0",0.077,0.000332,0.00193,0.12,0.637,83.463,251133
"269","McKay","Take Me Over","dislike",0.577,0.882,"10",-4.142,"0",0.0391,0.115,3.45e-05,0.225,0.786,81.747,216253
"270","Ed Sheeran","The A Team - Shy FX's Ackee and Saltfish Remix","dislike",0.73,0.807,"9",-6.857,"1",0.0457,0.000485,0.0991,0.0322,0.781,145.023,268125
"271","Major Lazer","Get Free (feat. Amber Coffman)","dislike",0.526,0.539,"11",-9.456,"0",0.061,0.121,0.127,0.121,0.797,176.081,289694
"272","Amy Winehouse","Cupid - Deluxe Edition Version","dislike",0.641,0.609,"7",-4.596,"1",0.0638,0.163,0,0.0811,0.696,87.181,228853
"273","Maverick Sabre","Come Fly Away - J-Vibe Remix","dislike",0.76,0.665,"10",-7.089,"0",0.117,0.0259,0,0.551,0.492,90.952,292747
"274","Bruno Mars","Show Me","dislike",0.743,0.706,"5",-5.728,"1",0.0535,0.0461,0,0.204,0.514,77.989,207560
"275","SunDub","Close to Me","dislike",0.757,0.56,"8",-5.924,"0",0.141,0.127,1.24e-06,0.0457,0.801,81.024,252633
"276","Tropkillaz","Loko","dislike",0.471,0.813,"2",-6.048,"1",0.119,0.0148,0.161,0.31,0.762,95.23,163013
"277","Jason Mraz","Have It All - Easy Star All-Stars & Michael Goldwasser Reggae Mix","dislike",0.706,0.796,"1",-4.597,"0",0.0766,0.0543,0,0.0625,0.876,81.96,259638
"278","Conkarah","Hello (Reggae Cover)","dislike",0.759,0.535,"8",-9.431,"1",0.0441,0.078,0.0121,0.107,0.46,78.993,238250
"279","Snoop Lion","Torn Apart","dislike",0.777,0.868,"9",-6,"0",0.122,0.0107,4.84e-06,0.231,0.764,138.035,210360
"280","Shaggy","Never Knew What I Missed (feat. Samira)","dislike",0.782,0.712,"11",-5.196,"1",0.167,0.185,0,0.314,0.95,144.117,209267
"281","Major Lazer","Can't Stop Now","dislike",0.717,0.604,"3",-6.194,"1",0.141,0.0772,0.000243,0.338,0.585,81.549,243253
"282","Major Lazer","Can't Stop Now","dislike",0.717,0.604,"3",-6.194,"1",0.141,0.0772,0.000243,0.338,0.585,81.549,243253
"283","Tinca","Listen (feat. Gretchen)","dislike",0.528,0.745,"8",-5.163,"0",0.111,0.016,0,0.152,0.66,145.818,185500
"284","Miike Snow","Animal - Mark Ronson Remix","dislike",0.833,0.808,"1",-4.824,"0",0.0414,0.304,0.00918,0.045,0.961,116.806,270360
"285","SHY FX","Soon Come","dislike",0.812,0.666,"0",-6.878,"1",0.131,0.419,0.103,0.236,0.795,79.968,185359
"286","Marlon Roudette","Nice Things","dislike",0.643,0.614,"0",-6.842,"1",0.211,0.0496,0,0.187,0.61,87.972,166793
"287","Gomba Jahbari","Acho Puñeta - Reggae Remix","dislike",0.621,0.745,"7",-5.369,"1",0.265,0.189,1.29e-06,0.124,0.831,73.649,292000
"288","Maroon 5","Three Little Birds","dislike",0.711,0.653,"9",-7.501,"1",0.0776,0.0362,0.00482,0.149,0.551,156.051,201168
"289","Jazmine Sullivan","Need U Bad - Moody Boyz Remix (UK Edit)","dislike",0.721,0.685,"7",-6.501,"1",0.0513,0.0023,1.95e-05,0.0904,0.536,137.974,294040
"290","Angie Stone","Is This Love","dislike",0.723,0.255,"6",-14.671,"0",0.072,0.0572,6.69e-06,0.0725,0.428,115.022,228680
"291","Boy George","Let Somebody Love You","dislike",0.761,0.679,"6",-6.567,"0",0.081,0.036,4.56e-06,0.518,0.64,89.995,225653
"292","RAY BLK","Run Run - Shy FX Remix","dislike",0.472,0.903,"10",-3.344,"0",0.0906,0.00528,0.0118,0.62,0.663,174.949,233143
"293","Liam Bailey","When Will They Learn - Radio Edit","dislike",0.865,0.516,"11",-7.103,"0",0.0412,0.0297,0.0615,0.0841,0.533,98.489,200852
"294","Estelle","Come Over","dislike",0.683,0.747,"8",-3.465,"0",0.113,0.0261,1.96e-05,0.261,0.722,81.998,221013
"295","Sting","Don't Make Me Wait (with Shaggy)","dislike",0.804,0.624,"4",-8.597,"0",0.142,0.0569,0,0.253,0.339,89.004,215053
"296","Little Mix","Love Me Like You - J-Vibe Reggae Remix","dislike",0.824,0.676,"7",-4.679,"1",0.0395,0.137,0,0.256,0.809,106.036,184520
"297","Era Istrefi","Prisoner","dislike",0.703,0.901,"9",-3.327,"0",0.0859,0.0125,0,0.353,0.797,149.909,195950
"298","Alysha Brilla","Rescue (feat. Mic Dainjah)","dislike",0.645,0.561,"10",-6.053,"1",0.047,0.468,2.66e-06,0.117,0.928,107.992,284009
"299","Jain","You Can Blame Me","dislike",0.751,0.593,"1",-7.505,"1",0.0408,0.0344,0.00388,0.122,0.782,136.508,225640
"300","Naughty Boy","All Or Nothing","dislike",0.622,0.757,"9",-3.497,"1",0.053,0.27,0,0.136,0.61,135.126,233483
"301","Joss Stone","Less Is More","dislike",0.627,0.682,"4",-5.688,"0",0.135,0.21,0,0.223,0.69,78.856,257707
"302","Sia","Genius - Banx & Ranx Reggae Remix","dislike",0.558,0.841,"11",-6.303,"0",0.0912,0.0527,0,0.322,0.644,158.895,194880
"303","Marsha Ambrosius","Have You Ever","dislike",0.62,0.726,"7",-3.339,"1",0.128,0.452,0,0.148,0.532,77.966,257297
"304","Alicia Keys","No One - Curtis Lynch Reggae Remix","dislike",0.636,0.631,"1",-4.476,"0",0.0299,0.0147,0,0.0942,0.561,89.99,236973
"305","Kitty, Daisy & Lewis","I'm So Sorry","dislike",0.811,0.61,"10",-4.851,"1",0.0441,0.187,0.0914,0.0891,0.965,133.328,265093
"306","Ben L'Oncle Soul","I Don't Wanna Waste","dislike",0.778,0.71,"1",-7.984,"1",0.224,0.575,0.133,0.134,0.784,94.05,263840
"307","Sammy Johnson","Never Too Sweet","dislike",0.582,0.797,"7",-3.69,"0",0.294,0.135,0,0.0686,0.833,77.775,198120
"308","Kevin Michael","It Don't Make Any Difference to Me (feat. Wyclef Jean) - Supa Dupes Remix","dislike",0.726,0.664,"11",-6.641,"0",0.0388,0.00208,0,0.185,0.387,88.504,252848
"309","The Suffers","Everything Here","dislike",0.774,0.448,"7",-10.47,"1",0.0461,0.201,0.0384,0.1,0.276,144.878,214160
"310","Cher Lloyd","With Ur Love - Teka & SoulForce Reggae Remix","dislike",0.527,0.78,"1",-3.613,"0",0.0539,0.0626,0,0.231,0.518,170.11,228067
"311","Katy Tiz","The Big Bang (feat. Jo Mersa & Inner Circle) - Reggae Remix","dislike",0.847,0.798,"7",-3.24,"1",0.0542,0.099,2.21e-06,0.094,0.851,96.026,186250
"312","Terry Linen","Your Love Is My Love","dislike",0.677,0.511,"5",-5.795,"1",0.0347,0.215,0,0.215,0.608,76.008,239867
"313","Heavy D","Queen Majesty","dislike",0.84,0.274,"7",-11.498,"1",0.193,0.0224,0.000763,0.322,0.234,84.002,237768
"314","Dub Inc.","Rude Boy","dislike",0.821,0.768,"9",-6.156,"0",0.17,0.293,0,0.0963,0.951,73.951,311480
"315","Yaniss Odua","Ecoutez-nous","dislike",0.767,0.724,"9",-4.856,"0",0.105,0.0364,0,0.331,0.345,89.789,292853
"316","Danakil","Marley","dislike",0.696,0.62,"2",-6.931,"1",0.42,0.182,0,0.0701,0.646,146.914,312308
"317","Alpha Blondy","Brigadier Sabari","dislike",0.888,0.719,"10",-6.819,"0",0.17,0.226,1.17e-06,0.312,0.959,88.285,283973
"318","I Woks","Comme en ski","dislike",0.63,0.881,"9",-3.712,"0",0.271,0.279,0,0.307,0.702,93.425,273507
"319","Kana","Plantation","dislike",0.879,0.534,"5",-5.82,"1",0.13,0.133,0.0971,0.0877,0.876,154.023,213133
"320","Tiken Jah Fakoly","Africain à Paris","dislike",0.786,0.609,"6",-7.529,"0",0.0487,0.2,0,0.546,0.851,96.06,231427
"321","Taïro","Bonne weed","dislike",0.509,0.661,"9",-3.792,"1",0.0902,0.177,0,0.07,0.583,72.64,251867
"322","I Woks","Toi qui me juges","dislike",0.81,0.595,"8",-6.76,"1",0.116,0.126,0,0.079,0.716,74.997,261350
"323","Jahneration","Control Your Tempa","dislike",0.708,0.716,"10",-4.593,"0",0.231,0.396,0,0.161,0.715,171.96,209960
"324","Tiken Jah Fakoly","Plus rien ne m'étonne","dislike",0.688,0.516,"4",-6.229,"0",0.045,0.121,2.41e-05,0.217,0.644,155.911,250213
"325","Dub Inc.","Justice","dislike",0.86,0.523,"8",-7.628,"0",0.307,0.0181,0,0.0714,0.858,76.985,282613
"326","Tryo","L'hymne de nos campagnes - Live","dislike",0.688,0.525,"2",-8.315,"0",0.265,0.842,0,0.365,0.779,89.988,206027
"327","Pierpoljak","Pierpoljak","dislike",0.818,0.658,"5",-7.564,"1",0.0449,0.0335,5.33e-06,0.0562,0.912,147.478,225333
"328","Sinsémilia","Tout Le Bonheur Du Monde","dislike",0.693,0.729,"2",-7.544,"0",0.0659,0.207,0,0.0818,0.748,100.029,229427
"329","Natty Jean","Taya","dislike",0.899,0.712,"10",-6.602,"0",0.302,0.0312,0,0.0776,0.505,88.015,210480
"330","Raggasonic","Faut pas me prendre pour un âne","dislike",0.782,0.724,"7",-6.883,"1",0.271,0.366,0,0.539,0.808,86.504,238027
"331","Ryon","Mon bon droit","dislike",0.853,0.579,"4",-7.204,"0",0.19,0.102,0,0.328,0.416,95,210487
"332","Dub Inc.","Tout ce qu'ils veulent","dislike",0.79,0.77,"5",-5.435,"0",0.0642,0.104,0,0.321,0.701,88.955,326857
"333","Biga Ranx","Liquid Sunshine","dislike",0.963,0.355,"11",-10.016,"0",0.292,0.0333,0.0383,0.0705,0.699,112.013,192592
"334","Massilia Sound System","Au Marché Du Soleil","dislike",0.874,0.428,"4",-6.757,"0",0.253,0.0702,0,0.103,0.3,94.977,279719
"335","Papa Style & Baldas","Nouveau souffle","dislike",0.91,0.641,"6",-6.499,"1",0.0986,0.0575,0,0.0833,0.884,139.978,336187
"336","Massilia Sound System","Toujours (Et Toujours)","dislike",0.874,0.515,"5",-6.395,"0",0.166,0.177,7.92e-05,0.0596,0.895,86.513,275696
"337","Danakil","EchoSysDub","dislike",0.741,0.708,"1",-6.62,"0",0.26,0.0353,0.000524,0.1,0.862,77.004,241212
"338","Raggasonic","Bleu blanc rouge","dislike",0.802,0.657,"9",-9.016,"0",0.308,0.23,0,0.353,0.817,144.602,247400
"339","Jah Gaïa","Grow","dislike",0.784,0.592,"0",-5.944,"0",0.146,0.0984,0,0.15,0.819,78.182,294080
"340","Taïro","Bon vieux temps","dislike",0.717,0.827,"9",-3.422,"1",0.103,0.0473,5.05e-06,0.501,0.676,87.018,273075
"341","Sinsémilia","La Mauvaise Réputation","dislike",0.795,0.721,"11",-5.742,"0",0.084,0.127,0,0.121,0.859,131.029,157040
"342","Jamadom","Le temps passe","dislike",0.739,0.699,"7",-7.637,"0",0.309,0.104,0,0.204,0.941,159.985,245577
"343","Volodia","Captain","dislike",0.789,0.662,"8",-7.57,"0",0.165,0.19,0,0.104,0.735,77.996,285267
"344","Filentre","Homme libre","dislike",0.801,0.504,"1",-10.664,"1",0.0807,0.302,0.0067,0.124,0.929,79.93,305653
"345","Danakil","Écho système","dislike",0.774,0.693,"6",-5.786,"1",0.182,0.156,1.73e-06,0.115,0.865,77.046,290813
"346","Blacko","Accroché à mes rêves","dislike",0.483,0.816,"10",-5.551,"0",0.276,0.151,0,0.11,0.939,164.908,202627
"347","Naâman","I'm Alright","dislike",0.792,0.68,"1",-6.106,"1",0.244,0.137,2.13e-05,0.0715,0.862,79.984,227693
"348","Broussaï","Et Le Manege Tourne","dislike",0.895,0.602,"5",-8.268,"1",0.0771,0.374,3.75e-05,0.083,0.886,138.033,284773
"349","Biga Ranx","Monday (feat. LEJ, Akhenaton & Blundetto)","dislike",0.945,0.46,"11",-6.892,"0",0.0573,0.157,0,0.0858,0.736,130.065,177813
"350","Yaniss Odua","Nouvelle donne","dislike",0.809,0.722,"9",-6.269,"0",0.264,0.139,0,0.0923,0.672,158.062,245680
"351","Volodia","La meme passion","dislike",0.815,0.899,"8",-4.53,"0",0.204,0.242,0,0.184,0.962,91.121,196081
"352","Pierre Nesta","Est-ce ainsi que les hommes vivent","dislike",0.832,0.553,"8",-8.041,"0",0.0612,0.128,4.27e-06,0.122,0.934,136.076,378533
"353","Broussaï","Contrastes et couleurs","dislike",0.716,0.621,"7",-6.647,"0",0.193,0.105,0,0.0856,0.866,78.252,263426
"354","Daddy Mory","Mama","dislike",0.735,0.818,"8",-3.545,"1",0.169,0.422,0,0.0458,0.892,167.876,234667
"355","Datune","Le son qu'il te faut","dislike",0.693,0.699,"8",-7.038,"1",0.0995,0.135,0,0.0886,0.801,81.556,256253
"356","Féfé","Cherche","dislike",0.77,0.521,"6",-7.183,"0",0.0853,0.285,0,0.0869,0.645,89.99,244520
"357","Taïro","RDV","dislike",0.739,0.721,"4",-4.105,"0",0.0867,0.0869,0.000439,0.125,0.604,79.962,263040
"358","Papa Style","Yes Papa","dislike",0.842,0.777,"6",-5.925,"1",0.31,0.232,0,0.108,0.885,90.036,174333
"359","Tryo","Chanter","dislike",0.85,0.733,"5",-6.462,"1",0.0849,0.241,0,0.461,0.769,97.009,216173
"360","Sinsémilia","Reggae Addicts Connection","dislike",0.811,0.78,"10",-6.408,"0",0.0457,0.0891,0,0.0776,0.967,98.028,256507
"361","Danakil","33 mars","dislike",0.759,0.718,"11",-6.971,"0",0.117,0.126,1.71e-06,0.206,0.647,154.003,200815
"362","Taïro","Reggae français","dislike",0.753,0.794,"7",-5.044,"1",0.202,0.00142,0,0.0851,0.685,87.04,269712
"363","Alpha Blondy","Political Brouhaha","dislike",0.779,0.769,"3",-5.411,"0",0.047,0.112,0.00287,0.233,0.88,143.029,297133
"364","Mo Kalamity","Petit bonhomme","dislike",0.887,0.658,"0",-7.183,"0",0.0547,0.0791,9.11e-06,0.0698,0.816,116.019,214013
"365","Rasta Bigoud","Kana diskan","dislike",0.911,0.734,"10",-5.885,"0",0.106,0.011,2.27e-06,0.0788,0.965,88.991,226867
"366","Tiwony","Roots Rebel","dislike",0.727,0.605,"10",-7.47,"0",0.106,0.133,0,0.299,0.679,95.845,249173
"367","Daddy Mory","Seigneurs de guerre","dislike",0.708,0.908,"9",-3.187,"0",0.138,0.158,0,0.323,0.595,87.867,225253
"368","Rastamytho","Trois cent mille","dislike",0.695,0.817,"1",-4.59,"0",0.112,0.496,0,0.04,0.906,95.768,176573
"369","Volodia","Au final","dislike",0.68,0.674,"7",-5.908,"0",0.0607,0.0161,0,0.132,0.615,77.975,284173
"370","LMK","Où sont nos gos","dislike",0.727,0.813,"7",-5.436,"0",0.14,0.172,0,0.239,0.765,93.007,203931
"371","Tiwony","Protect Me","dislike",0.626,0.696,"2",-5.201,"1",0.342,0.197,0,0.366,0.451,112.257,194458
"372","Princess Erika","Délivrée","dislike",0.766,0.714,"0",-6.98,"0",0.118,0.0331,2.51e-05,0.398,0.701,108.038,228053
"373","Booboo'zzz All Stars","Les parfums de sa vie","dislike",0.806,0.485,"1",-7.738,"1",0.0283,0.199,0.000988,0.0668,0.579,110.218,272213
"374","Estelle","Lights Out","dislike",0.629,0.832,"7",-4.021,"1",0.0777,0.0606,0,0.0954,0.741,145.101,203392
"375","Bitty McLean","Made To Fall In Love","dislike",0.55,0.606,"7",-6.471,"1",0.0612,0.0253,0,0.115,0.52,176.451,224535
"376","Queen Ifrica","To See","dislike",0.519,0.663,"0",-3.498,"0",0.319,0.0858,0,0.137,0.725,84.208,224104
"377","DJ Khaled","Holy Ground (feat. Buju Banton)","dislike",0.614,0.749,"2",-3.378,"1",0.138,0.403,0,0.102,0.432,170.186,197833
"378","Collie Buddz","Show Love","dislike",0.794,0.733,"2",-4.753,"0",0.207,0.0288,0,0.321,0.701,82.001,191481
"379","Gyptian","Love Overdue","dislike",0.688,0.426,"4",-8.67,"1",0.231,0.486,0.000486,0.105,0.649,77.512,207000
"380","Julian Marley","Straighter Roads","dislike",0.741,0.764,"7",-5.292,"1",0.0414,0.0222,2.4e-06,0.0948,0.239,79.512,270695
"381","Shaggy","Use Me","dislike",0.803,0.787,"3",-7.509,"1",0.114,0.193,0,0.105,0.642,113.321,192000
"382","Walshy Fire","Rubble Rebel (Champion)","dislike",0.724,0.786,"6",-3.698,"0",0.117,0.123,0,0.251,0.942,138.94,272957
"383","Beres Hammond","My Kinda Girl","dislike",0.68,0.716,"10",-3.571,"1",0.0719,0.0291,0.000422,0.0904,0.633,83.904,254966
"384","Popcaan","Everything Nice","dislike",0.461,0.603,"1",-8.616,"1",0.198,0.0673,0,0.0971,0.185,99.124,257472
"385","Bob Marley & The Wailers","Three Little Birds","dislike",0.807,0.487,"9",-10.456,"1",0.0758,0.0102,1.98e-06,0.0501,0.651,148.491,180267
"386","¡MAYDAY!","New Blessings","dislike",0.813,0.568,"10",-6.191,"0",0.172,0.0863,0,0.0741,0.676,119.971,259880
"387","Gappy Ranks","Heaven In Her Eyes","dislike",0.881,0.484,"2",-6.268,"0",0.0509,0.0144,0.000611,0.151,0.67,85.012,227333
"388","Bob Marley & The Wailers","Waiting In Vain","dislike",0.769,0.457,"8",-11.501,"1",0.327,0.0292,3.07e-05,0.0599,0.806,78.789,256240
"389","Sizzla","Solid As A Rock","dislike",0.721,0.681,"2",-6.265,"1",0.197,0.00665,0,0.159,0.495,144.349,266453
"390","Jah Cure","Sticky","dislike",0.59,0.686,"10",-4.04,"0",0.223,0.0722,0,0.127,0.765,164.351,209547
"391","Major Lazer","Good Enuff - Cash Flow Dub","dislike",0.612,0.837,"8",-5.318,"1",0.283,0.0765,0,0.162,0.442,80.014,169773
"392","Richie Spice","Youth Dem Cold","dislike",0.624,0.719,"8",-6.034,"0",0.344,0.0262,0,0.368,0.781,82.571,225507
